@id,@lon,@lat,name:en,name,addr:country,addr:city:en,addr:street:en,opening_hours,phone,website
445893304,21.4138028,41.9947703,Nola Bar,нола Бар,MK,Skopje,Mitroplit Teodosij Gologanov,Mo-Fr 09:00-24:00; Sa Su 00:00-01:00 09:00-24:00,+389 2 2444542,http://hotelimakedonija.com.mk/en/Restaurant/1073/In-Vino-Restaurant
459668824,21.4345059,41.9951019,,,MK,Bitola,,,,
461659998,22.6389577,41.4389263,,Gala Live,,,,,,
478041016,22.0143629,41.4332378,,Kaj Roka,,,,,,
529806829,22.0116649,41.4348833,,Energi's,,,,,,
1562023466,21.4358564,41.9993401,Menada,Hürrem,,Bitola,,,,
1762411015,21.7197998,42.1345864,,Revolution,,,,,,
1851476158,21.446918,41.991008,,Club Colloseum,,,,,,
1858969938,21.4295352,41.9975241,,LA MER - Coffe & Wine bar,,,,Su-Th 08:00-24:00; Fr-Sa 09:00-01:00; ,,
2105747973,20.6186686,42.1636774,,Kafe Xili,,,,,,
2105750459,20.6183358,42.1638365,,Embeltore Cuca e Maleve,,Gostivar,,,,
2377938090,20.8059198,41.1010587,,Cuba Libre Beach Club,,,,,,
2377938288,20.8049971,41.0999773,,Kadmo Beach Club,,,,,,
2716195094,21.7265836,42.1355371,,Lollipop,,,,,,https://www.facebook.com/clublollipop
2823030396,21.4340509,41.9955386,Etno Bar,Етно-бар,MK,Skopje,Kay 13th November,,,
3101726039,21.4358296,41.9998288,,Rakija Bar,,,,,,
3162794861,22.455839,41.632766,,Diamond disco,,Kumanovo,,,,
3215233943,20.7431418,42.2106357,,Check-Inn Pub,,,,,,
3648714484,21.4273688,42.0062927,BRICK Bar,Брик бар,,,,09:00-01:00,,
3695356157,22.7738953,41.9665385,Sky Coffee,Sky Coffee,,,,,,
3695356158,22.7757541,41.9669895,Apolon,Apolon,,,,,,
3695770500,22.7773408,41.9671407,Valium Coffee,Валиум,,,,,,
3826400426,20.8027449,41.1126013,,Connect,,,,,,
3828431967,21.7833196,41.717557,Ezze Bar,Езе Бар,,,,,,
4089163069,22.7959941,41.2535112,,Small bar,,,,,,
4161488090,22.5103667,41.8881131,,Bife Mal Minhen,,,,24-Jul,,
4241463589,20.7436837,42.2165781,,Medium Mobile Phone Center,,,,Mo-Sa 07:00-23:00; Su,38349684500,http://www.mediumcenter-ks.com
4275553389,20.7912119,41.1122617,Pantelejmon,Пантелејмп,,,,,,
4370680620,21.257459,42.2287856,,Tropical,,,,,,
4375513890,21.3602983,42.0110921,Kamin Kama,КАМИН КАМА,,,,Mo-Su 10:00-00:00,,
4386763889,21.4367578,41.9999897,,beer cafe,,,,,,
4411037107,21.3361237,41.0281914,Connect Cafe Bar,Конект,,,,,,
4423216789,20.7411072,42.2084562,,BarAca,,,,,,
4469858799,20.9080722,41.7932482,,Loune Bar Fantastica,,,,24-Jul,,
4520847999,21.7055087,42.1322787,eliba lounge bar,eliba lounge bar,,,,24-Jul,,
4523593889,21.7176862,42.1343433,,city,,,,,,
4710531782,21.4264446,42.0068068,,Bar Reka,,,,,,
4716224490,21.3337145,41.0286733,Porta Jazz,Порта Џез,,,,Mo-Sa 08:00-01:00; Su 09:00-01:00,47208033,
4749356380,20.7412723,42.208435,,Ora,,,,,,
4749356382,20.7413811,42.2082038,,Morea,,,,,,
4792650322,20.927576,41.9386572,,Sinican,,,,,,
4794044627,21.4235498,42.00231,,Speakeasy,,,,,,
4880542421,20.7334831,42.2151087,,Caffe Bar Troy,,,,,,
4881325493,21.4061819,42.0062605,,Minus Eden,,,,Tu-Sa 00:00-04:00,,
5018493773,22.5803268,41.000015,,Verano,,,,,,
5033612922,22.443836,41.8539102,Kafe Bar Rio,,,,,,,
5062125123,20.7404283,42.2084088,,Shendeti,,,,,,
5077399021,20.7996516,41.113377,Shilla,,,,,,,https://www.facebook.com/ShillaCoffeeBar/
5110720232,21.4378235,42.001291,,Syri,,,,,,
5129209624,21.4211669,42.0004422,,Papillon,,,,,,
5160396604,20.8636388,41.9439294,,Kafe te mullajni,,,,,,
5212686964,20.8050459,42.1376071,,Feho Comerc,,,,,,
5284221297,21.4216722,42.0021654,,Kaldrma,,,,,,
5284221299,21.4217791,42.0022762,,Van Gogh,,,,,,
5303948278,21.3688665,42.0078535,,Hazard Club,,,,,,
5324087246,21.410801,42.005228,,Tesla Bar,,,,,,
5339772021,21.4290413,41.9947622,,Centar Bar,,,,Mo-Su 09:00-23:00,,
5402663235,21.4711307,41.9830723,,Coffeelix,,,,Mo-Su 09:00-00:00,,
5408299422,21.704157,42.1373364,English,Kumanovo,,,,24-Jul,38971611422,
5484708477,21.4268797,42.0007066,,Thirio,,,,,,
5659318796,21.423451,42.0002331,,Radio bar,,,,,,
5726415819,20.7404049,42.2087088,,Soho,,,,,,
5759414045,21.4661079,41.9937893,,Bar,,,,,,
5863885686,21.4614608,42.002646,Le Petit,Ле Петит,,,,Mo-Su 08:00-01:00,,
5890928713,20.8066006,41.1080463,,Pardise,,,,,,
5908867785,21.4383755,41.9945181,Old lady beer bar,,,,,,,
6079524207,22.5900747,42.0229302,,Hawaii Lounge Bar,,,,,,
6185560885,20.6798797,41.1742024,,Metropolis,,,,,,
6283315096,20.7409803,42.2089606,,"Baileys ""OAZA""",,,,,,
6466749619,21.4268984,41.9964359,,Mr. Jack,,,,,,
6586827385,20.5655165,41.069151,London Coffe,London,,,,24-Jul,,https://www.facebook.com/London-Coffe-638659216647850/
6598812862,21.2993568,41.9510601,,Tiamo,,,,,,
6810254485,21.4251713,41.9907645,,Three Kitchen Bar,,,,,,
6812666808,21.4306474,41.9963385,,Distrikt,,,,,,
6815931385,21.4209912,42.0003785,,Nano,,,,,,
6920424345,20.7403727,42.2086116,,Zeen,,,,,,
6920488881,20.7394571,42.2083242,,Te Kinezi,,,,,,
6920488883,20.7394913,42.2083496,,princecaffe,,,,,,
7145674630,21.4108493,42.0052205,,Marvel Coffee Bar,,,,Mo-Su 08:00-24:00,38970278287,
7423832194,20.6190661,42.1632901,,Caffe Aidi,,,,,,
7450248802,20.6189024,42.1626857,,Caffe Te Doda,,,,Mo-Su,,
7458698154,20.6148228,42.1678666,,Caffe Te Hulusi,,,,,,
7504657345,20.6194416,42.1630853,,Shisha Bar - Caffe,,,,,,
7504692926,20.6254095,42.1648548,,Caffe Tenda Zhur,,,,,,
7633392885,20.724632,42.2152568,,Big Scoop Prizren,,,,Mo-Su 08:00-22:00,38349855353,https://www.bigscoop-ks.com/
7714773226,20.963392,41.5118763,,Institute Club,,,,08:00-01:00,,
7816659986,20.7389519,42.2088493,,Destill,,,,,,
7822070322,21.4318702,41.9874556,,by the way,,,,,,
7827848335,21.2563732,42.2301787,,Pure Organic,,,,,,
8098609617,20.8063955,42.133223,Caffe nedo,Caffe Nedo,,,,24-Jul,,
8579764118,20.7293746,42.2107845,,PortaL,,,,,,
8582537117,20.7293371,42.2107513,,PortaL,,,,,38345215845,
8587950062,20.664611,42.1966531,,BAR Lugano,,,,,,
8761010417,20.7293132,42.2108146,,PortaL,,,,,38345215845,
8798313700,20.7392383,42.2084892,,Panini,,,,,,
8946192917,20.798529,41.1181619,,Gostilnica Boem,,,,,,
9025111283,21.2484653,41.3678897,,Malaga Lounge Bar,,,,,,
9103439830,20.7405674,42.2082295,Monacco,,,,,,,
9200216331,20.802083,41.111651,,Octava,,,,,,
