@id,@lon,@lat,name:en,name,addr:country,addr:city:en,addr:street:en,opening_hours,phone,website
310289760,21.416703,42.0001541,,Broz Cafe,,Skopje,,,,
382650535,22.0110153,41.4372049,,Total,,Kavadarci,,,,
382650733,22.0110601,41.437027,,Roma,,Kavadarci,,,,
386703438,22.0131384,41.4352466,,Blue Cafe,,Skopje,,,,
386704854,22.0104295,41.4398268,,Picaso,,Gevgelija,,,,
411008299,21.4232268,41.9948867,,Benneton,,Skopje,,,,
414619173,21.2168806,41.5069813,,First,,Makedonski brod,,,,
414620827,21.2165604,41.5133537,,Kardinal,,Makedonski brod,,,,
444537212,22.4107281,41.9176649,,Delikates Cafe,,Kochani,,,,
459670767,21.4310013,41.9952414,,Caffe Skopje,,Skopje,,Mo-Su 08:00-23:00,,
459670881,21.429836,41.992653,Play Cafe,Play Cafe,,Skopje,,Mo-Su 09:00-21:00,,
459752642,21.4373453,41.9984414,,Bistro Opera Pub,,Skopje,,24-Jul,,
461659372,22.6389491,41.4389263,,City Cafe,,Skopje,,,,
461659456,22.6390517,41.4390994,,Inside Cafe,,Strumica,,,,
461660689,22.637799,41.4397692,,Extreme Cafe,,Strumica,,,,
461660729,22.6377556,41.4397043,,PR Cafe,,Strumica,,,,
461660842,22.6378848,41.4395247,,Cafe 19,,Strumica,,,,
470029606,22.3362079,42.2056104,,Galerija,,Skopje,,Mo-Su 09:00-01:00,,
470029612,22.3365517,42.2058845,,Fashion cafe,,Ohrid,,Mo-Su 08:00-01:00,,
572386052,20.6763146,41.1776197,,Leone,,Prilep,,,,
990397203,22.1926393,41.7427284,,Angel's Caffe,,Negotino,,,,
1016798024,21.6533113,42.3044569,,XL Pub,,Skopje,,,,
1089803179,21.6524469,42.3055386,,Victoria,,Struga,,,,
1089803981,21.6498183,42.3080221,,Santos,,Skopje,,,,
1704390070,20.9568436,41.5108813,,Republika,,Kichevo,,,,
1762412847,21.7189898,42.134282,,Irish Pub,,Skopje,,,,
1851476126,21.4504664,41.9915282,,Red Caffe,,Skopje,,,,
2298054794,21.3722969,42.0071574,,Badu,,Skopje,,,,
2316156266,21.337129,41.0248295,,Cafe Bar Touch,,Bitola,,,,
2316156281,21.3365737,41.0246534,,Internet Club Alex,,Bitola,,,,
2377969086,20.799142,41.1130197,,Slavica Kafe,,Ohrid,,,,
2377969191,20.7990978,41.1129743,,Instinct,,Skopje,,,,
2377969197,20.7992077,41.1130834,,Galerija,,Skopje,,,,
2539581007,21.446234,41.9734649,,Quatro Caffe,,Skopje,,,,
2539581507,21.4456656,41.9732771,,Bass Cafe,,Skopje,,,,
2814545377,21.4308204,41.9955477,,Bocata,,Skopje,,Mo-Su 08:00-23:00,,
2814545378,21.4308588,41.9949424,,Coffee Factory 2,,Skopje,,Mo-Sa 08:00-01:00,,
2892180939,20.7321958,42.2151128,,Karamel,,Bitola,,,,
2893639222,22.5892057,42.0218468,,Delirium,,Skopje,,Mo-Su 08:00-24:00,,
2905985815,22.5900047,42.021859,,District Lounge Bar,,Skopje,,Mo-Su 08:00-24:00,,
2992591829,21.4370632,42.0017629,,Mon Frere,MK,Skopje,,Mo-Su 08:00-23:00,,
3022305008,22.3355446,42.2022003,,Select Caffe,,Kriva Palanka,,Mo-Su 08:00-01:00,,
3100113827,20.801058,41.1135786,,Cafe Experience,,Negotino,,,,
3101725379,21.4368849,41.999241,,Old Town,,Skopje,,Mo-Su 10:00-22:00,,
3101726037,21.4358699,42.0000003,,Nargile Cafe,,Skopje,,Mo-Su 10:00-22:00,,
3162735662,22.461401,41.638261,,Ti-Amo,MK,Radovish,,,,
3341289752,21.4306195,41.9944452,,Bistro Skopje,,Skopje,,Mo-Su 09:00-21:00,,
3341289753,21.430365,41.9938562,,Gnezdo,,Skopje,,Mo-Su 08:00-22:00,,
